threshold,fpr,tpr,tp,fp,fn,tn
inf,0.0,0.0,0,0,149,44
1294.8527294796456,0.0,0.006711409395973154,1,0,148,44
957.3979264279892,0.0,0.013422818791946308,2,0,147,44
623.3799340962913,0.0,0.020134228187919462,3,0,146,44
455.55119736677204,0.0,0.026845637583892617,4,0,145,44
416.14306330992963,0.0,0.03355704697986577,5,0,144,44
344.93496905679336,0.0,0.040268456375838924,6,0,143,44
300.42675915921177,0.0,0.04697986577181208,7,0,142,44
200.1420955675609,0.0,0.053691275167785234,8,0,141,44
194.55146761004204,0.0,0.06040268456375839,9,0,140,44
133.450336848411,0.0,0.06711409395973154,10,0,139,44
118.86851640596082,0.0,0.0738255033557047,11,0,138,44
117.97574949715715,0.0,0.08053691275167785,12,0,137,44
116.40435112618812,0.0,0.087248322147651,13,0,136,44
109.12748275969517,0.0,0.09395973154362416,14,0,135,44
93.5431310684274,0.0,0.10067114093959731,15,0,134,44
91.15831757936864,0.0,0.11409395973154363,17,0,132,44
84.3175908430896,0.0,0.12080536912751678,18,0,131,44
82.35447896183254,0.0,0.2080536912751678,31,0,118,44
63.60158502215273,0.0,0.21476510067114093,32,0,117,44
62.915585375941106,0.0,0.2214765100671141,33,0,116,44
62.4886628220153,0.0,0.22818791946308725,34,0,115,44
62.14723326833035,0.0,0.2348993288590604,35,0,114,44
44.75523740573195,0.0,0.24161073825503357,36,0,113,44
43.70241024478099,0.0,0.2483221476510067,37,0,112,44
39.816619864282345,0.0,0.4161073825503356,62,0,87,44
38.148374614750914,0.0,0.4228187919463087,63,0,86,44
37.181185658306624,0.0,0.42953020134228187,64,0,85,44
35.109890509530686,0.0,0.436241610738255,65,0,84,44
31.819896184307293,0.0,0.4429530201342282,66,0,83,44
30.04563020332239,0.0,0.44966442953020136,67,0,82,44
29.335531838432303,0.0,0.4563758389261745,68,0,81,44
28.891535827489946,0.11363636363636363,0.5234899328859061,78,5,71,39
28.85467689281333,0.11363636363636363,0.5302013422818792,79,5,70,39
28.67163273862299,0.11363636363636363,0.5570469798657718,83,5,66,39
27.333231278714095,0.11363636363636363,0.5637583892617449,84,5,65,39
26.64280112593347,0.11363636363636363,0.5838926174496645,87,5,62,39
25.643833665950275,0.11363636363636363,0.6040268456375839,90,5,59,39
24.530986370455793,0.11363636363636363,0.6174496644295302,92,5,57,39
23.79592535909321,0.11363636363636363,0.6241610738255033,93,5,56,39
22.355767933640024,0.25,0.7114093959731543,106,11,43,33
18.898345124258213,0.25,0.7248322147651006,108,11,41,33
17.99994348916735,0.25,0.7315436241610739,109,11,40,33
17.04169543917421,0.2727272727272727,0.7315436241610739,109,12,40,32
16.912845830267138,0.29545454545454547,0.7315436241610739,109,13,40,31
14.356704120617085,0.3181818181818182,0.7315436241610739,109,14,40,30
14.224440240242728,0.3181818181818182,0.738255033557047,110,14,39,30
13.323958057487332,0.3409090909090909,0.738255033557047,110,15,39,29
9.85341872495411,0.36363636363636365,0.738255033557047,110,16,39,28
9.686988566520128,0.36363636363636365,0.7449664429530202,111,16,38,28
