ts,label,score
1777244980.4307978,0,2.2558539344662423
1777244981.4308348,0,2.2558539344662423
1777244982.4310303,0,2.2558539344662423
1777244983.4306564,0,2.2558539344662423
1777244984.4310594,0,2.2558539344662423
1777244985.4307206,0,2.2558539344662423
1777244986.4308019,0,2.2558539344662423
1777244987.4308589,0,2.2558539344662423
1777244988.4309275,0,2.2558539344662423
1777244989.4309266,0,2.2558539344662423
1777244990.4308078,0,2.2558539344662423
1777244991.430786,0,2.2558539344662423
1777244992.4310381,0,2.2558539344662423
1777244993.4305658,0,2.2558539344662423
1777244994.4307275,0,2.2558539344662423
1777244995.4308388,0,2.2558539344662423
1777244996.430693,0,2.2558539344662423
1777244997.430846,0,2.2558539344662423
1777244998.4307475,0,2.2558539344662423
1777244999.4306383,0,2.2558539344662423
1777245000.4308188,0,2.2558539344662423
1777245001.4307237,0,2.2558539344662423
1777245002.4310207,0,2.2558539344662423
1777245003.4308457,0,2.2558539344662423
1777245004.4308038,0,2.2558539344662423
1777245005.430847,0,2.2558539344662423
1777245006.4310436,1,2.2558539344662423
1777245007.430888,1,2.2558539344662423
1777245008.4307222,1,2.2558539344662423
1777245009.430551,1,2.2558539344662423
1777245010.4307537,1,2.2558539344662423
1777245011.4307625,1,2.2558539344662423
1777245012.4309254,1,2.2558539344662423
1777245013.4305625,1,2.2558539344662423
1777245014.4308834,1,2.2558539344662423
1777245015.4308605,1,2.2558539344662423
1777245016.431071,1,2.2558539344662423
1777245017.4309433,1,2.2558539344662423
1777245018.430822,1,2.2558539344662423
1777245019.4307013,1,2.2558539344662423
1777245020.4304824,1,2.2558539344662423
1777245021.4309568,1,2.2558539344662423
1777245022.430792,1,2.2558539344662423
1777245023.430805,1,2.2558539344662423
1777245024.4308248,1,2.2558539344662423
1777245025.4306455,1,2.2558539344662423
1777245026.4307063,1,2.2558539344662423
1777245027.4307828,1,2.2558539344662423
1777245028.4309819,1,2.2558539344662423
1777245029.4308395,1,2.2558539344662423
1777245030.43078,1,2.2558539344662423
1777245031.4307985,1,2.2558539344662423
1777245032.4307218,1,2.2558539344662423
1777245033.4309115,1,2.2558539344662423
1777245034.430905,1,2.2558539344662423
